site_no,site_name,record_years,drainage_area_sqmi,historical_max_screening_return_period_years,historical_max_peak_cfs,historical_max_cfs_per_sqmi,historical_max_flood_class,frequency_method,stationarity_warning,distinct_matched_rainfall_flood_event_count,max_matched_event_return_period_years,max_matched_peak_cfs,max_matched_peak_cfs_per_sqmi,median_rainfall_to_flood_lag_hours,distinct_major_rainfall_flood_event_count
0357591500,,28,1.47,68.9969654426436,1950.0,1326.530612244898,50–100-year,station-skew LP3 screening,False,9,68.9969654426436,1950.0,1326.530612244898,-11.0,2
03575930,,5,8.87,6.0,4240.0,478.0157835400226,5–10-year,empirical only,False,0,,,,,0
03575933,,16,8.93,17.0,9460.0,1059.3505039193728,10–25-year,empirical only,False,3,17.0,9460.0,1059.3505039193728,-56.0,1
03575950,,35,41.8,28.681453582268222,14900.0,356.4593301435407,25–50-year,station-skew LP3 screening,True,8,28.681453582268222,14900.0,356.4593301435407,-23.0,2
03575980,,41,9.64,77.72352992583761,4560.0,473.0290456431535,50–100-year,station-skew LP3 screening,False,10,16.568325093314346,3480.0,360.9958506224066,-28.5,2
03576100,,5,49.0,6.0,8170.0,166.73469387755102,5–10-year,empirical only,False,0,,,,,0
03576148,,21,136.0,34.30799426777022,23300.0,171.3235294117647,25–50-year,station-skew LP3 screening,False,2,34.30799426777022,23300.0,171.3235294117647,21.5,2
03576250,,76,119.0,174.20304474603665,38000.0,319.327731092437,100–200-year,station-skew LP3 screening,False,9,7.938761574681901,15400.0,129.41176470588235,-7.0,0
03576400,,14,55.8,15.0,12900.0,231.18279569892476,10–25-year,empirical only,False,1,3.0,4700.0,84.2293906810036,-25.0,0
03576500,,41,86.3,126.7188395757968,30000.0,347.6245654692932,100–200-year,station-skew LP3 screening,False,5,17.299831270866168,15800.0,183.08227114716107,4.5,3
03576800,,3,1.27,4.0,219.0,172.44094488188975,2–5-year,empirical only,False,0,,,,,0
03576810,,4,6.69,5.0,2500.0,373.69207772795215,5–10-year,empirical only,False,0,,,,,0
03577000,,22,87.6,62.54634717912194,5120.0,58.44748858447489,50–100-year,station-skew LP3 screening,False,0,,,,,0
03577110,,19,158.0,20.0,11400.0,72.15189873417721,10–25-year,empirical only,True,0,,,,,0
03577119,,2,,3.0,6520.0,,2–5-year,empirical only,False,0,,,,,0
03577225,,16,40.9,17.0,11700.0,286.0635696821516,10–25-year,empirical only,False,2,8.5,9190.0,224.69437652811737,-6.0,0
03584500,,74,1784.0,97.81110558328224,130000.0,72.86995515695067,50–100-year,station-skew LP3 screening,True,1,5.222749172976685,55200.0,30.94170403587444,-45.0,0
