huc12,duration_hours,is_monotonic,minimum_mm,maximum_mm,threshold_count
031300030306,6,True,63.23998325317809,217.83441948642854,10
031300030306,24,True,88.19456998961314,326.80772937059106,10
031300030306,72,True,112.35787344524655,402.79849949546906,10
031300030401,1,True,37.39945182015065,108.98908724715528,10
031300030401,3,True,52.44136590295037,155.53030702841,10
031300030401,6,True,63.46461377287492,195.91133473079728,10
031300030401,24,True,89.71001172819474,295.6836560895241,10
031300030401,72,True,115.84720909706337,375.7836918471964,10
031300030402,1,True,37.142559467108214,109.75671439720942,10
031300030402,3,True,51.78501054512667,156.40551535217298,10
031300030402,6,True,62.56541593054644,196.9387922010218,10
031300030402,24,True,88.77860141651882,296.99781089305253,10
031300030402,72,True,114.52351220378466,374.3699300599228,10
031300030403,1,True,37.57356470539228,112.85275353225452,10
031300030403,3,True,52.22700915564879,162.86587038608283,10
031300030403,6,True,62.73169036084629,206.3103421070129,10
031300030403,24,True,88.21863045235612,310.7116584095502,10
031300030403,72,True,113.19904944743377,387.4198176558887,10
031300030501,1,True,37.992658891296145,110.98453041137627,10
031300030501,3,True,53.159118692972655,160.96904861942699,10
031300030501,6,True,64.09103088763688,204.9893433075736,10
031300030501,24,True,89.87264186471421,311.80676953681854,10
031300030501,72,True,115.91008238746069,394.78429966201134,10
031300030502,1,True,37.7584317928277,110.73087801573128,10
031300030502,3,True,52.74928230185103,159.74412334652803,10
031300030502,6,True,63.563119031964526,202.91745299559759,10
031300030502,24,True,89.29092612577702,308.3357466925656,10
031300030502,72,True,115.18242002128264,388.95087494818347,10
031300030503,1,True,37.894718763408115,111.90978534269503,10
031300030503,3,True,52.75078488665579,162.18813581530392,10
031300030503,6,True,63.371047910912,206.80661483235014,10
031300030503,24,True,88.8304020561228,315.02501293178426,10
031300030503,72,True,114.33982981972372,394.6191082041274,10
031300030504,1,True,38.06420247290249,113.66706550117087,10
031300030504,3,True,52.85814746622148,165.52660525922562,10
031300030504,6,True,63.28403400192616,211.42632192890412,10
031300030504,24,True,88.39258714086697,321.1839963441849,10
031300030504,72,True,113.30850462159977,399.29102799020745,10
031300030505,1,True,38.477369353985544,116.60739829705099,10
031300030505,3,True,53.357433112356134,171.20867355284187,10
031300030505,6,True,63.632698953018604,219.51493706295014,10
031300030505,24,True,88.39356105343009,332.99336196673477,10
031300030505,72,True,112.72196668841659,410.1864889120924,10
031300030602,1,True,38.96205278463806,119.66242250989583,10
031300030602,3,True,53.93943378636972,176.29745009163116,10
031300030602,6,True,64.12411638484959,226.55385335825716,10
031300030602,24,True,88.79083608861696,343.857679615261,10
