huc12,atlas14_001h_0001yr_mm,atlas14_001h_0002yr_mm,atlas14_001h_0005yr_mm,atlas14_001h_0010yr_mm,atlas14_001h_0025yr_mm,atlas14_001h_0050yr_mm,atlas14_001h_0100yr_mm,atlas14_001h_0200yr_mm,atlas14_001h_0500yr_mm,atlas14_001h_1000yr_mm,atlas14_003h_0001yr_mm,atlas14_003h_0002yr_mm,atlas14_003h_0005yr_mm,atlas14_003h_0010yr_mm,atlas14_003h_0025yr_mm,atlas14_003h_0050yr_mm,atlas14_003h_0100yr_mm,atlas14_003h_0200yr_mm,atlas14_003h_0500yr_mm,atlas14_003h_1000yr_mm,atlas14_006h_0001yr_mm,atlas14_006h_0002yr_mm,atlas14_006h_0005yr_mm,atlas14_006h_0010yr_mm,atlas14_006h_0025yr_mm,atlas14_006h_0050yr_mm,atlas14_006h_0100yr_mm,atlas14_006h_0200yr_mm,atlas14_006h_0500yr_mm,atlas14_006h_1000yr_mm,atlas14_024h_0001yr_mm,atlas14_024h_0002yr_mm,atlas14_024h_0005yr_mm,atlas14_024h_0010yr_mm,atlas14_024h_0025yr_mm,atlas14_024h_0050yr_mm,atlas14_024h_0100yr_mm,atlas14_024h_0200yr_mm,atlas14_024h_0500yr_mm,atlas14_024h_1000yr_mm,atlas14_072h_0001yr_mm,atlas14_072h_0002yr_mm,atlas14_072h_0005yr_mm,atlas14_072h_0010yr_mm,atlas14_072h_0025yr_mm,atlas14_072h_0050yr_mm,atlas14_072h_0100yr_mm,atlas14_072h_0200yr_mm,atlas14_072h_0500yr_mm,atlas14_072h_1000yr_mm
031502030108,38.970748128867946,44.43636215024322,53.44136321084864,60.97780880724728,71.44333482382922,79.58922477233867,87.79485633892192,96.18946934205253,107.38857768900624,115.94106975084499,54.265539402007086,61.50875764851992,74.09882764660547,85.24545750338712,101.62807183723017,115.08075054314254,129.24795641376747,144.35291399644925,165.45354943025686,182.27255877036035,65.639091911744,74.24631186605909,89.7130678522102,103.85671602567105,125.2737899319345,143.32266268642363,162.7106907589362,183.7517056303828,213.68266319860103,237.9263142459953,93.69809167679465,106.9529278146346,130.6531396268282,152.22897398176812,184.76171076966256,212.08307209726829,241.35400750536303,273.04754067717215,318.0265806037237,354.3848157559472,118.70810640444996,134.32913246898087,162.75357162633625,189.04906268047267,229.2692987655004,263.46077671319534,300.415626693009,340.7428464621391,398.42980215344863,445.3807423412083
031502030109,38.65423749121859,43.961261959492965,52.77229276555266,60.2076811025028,70.62587588446807,78.80612942104013,87.11266528816678,95.67046567031403,107.18665762381968,116.05093268027991,53.80667063869328,60.81838289937439,73.05608739475426,83.93744668637758,99.99465128941952,113.22687901363891,127.20303331830893,142.14102164497314,163.06472067175372,179.78107083380982,65.12259699201037,73.48868032050203,88.55472937596657,102.36203623229214,123.30979796805221,140.9924071025958,160.00891313806227,180.6669257540839,210.08548673181235,233.93696528113273,93.18081042153513,106.09112252557881,129.31658023604348,150.57856362505015,182.80220837206542,209.9812440637861,239.19335404850395,270.9097641908171,316.0528200327906,352.63517333631387,118.64148211774574,133.71146040612388,161.4860275454392,187.48213918575087,227.64698018754288,262.07364389256367,299.51227671200127,340.5782176036492,399.626065889906,447.89912863087875
031502030110,39.44251913744976,44.84476742561143,53.794138429567525,61.32918675350482,71.86701458980694,80.12216773015281,88.49031968137037,97.09667400929058,108.65265156466249,117.53118905466951,54.878612101219794,62.09491094662104,74.6980629114058,85.90963815631996,102.4689400849191,116.12127140502298,130.54781747663446,145.97286356044748,167.58630308343865,184.8589783058663,66.31985180291525,74.9911891074454,90.63290645072281,104.9926074047307,126.80359656178534,145.2382512798305,165.0814325271468,186.65025855566958,217.39158855903844,242.33217507465892,94.52900855486139,108.0768883591439,132.42105942466185,154.68995394536086,188.4037538543333,216.82239791229412,247.34500572538252,280.47347087492756,327.6020867693262,365.774510516926,120.09394033924819,136.00195491719307,165.2164039624404,192.47453899080688,234.47316089617993,270.3926580735732,309.39108441025076,352.1076707913139,413.4483887161484,463.53406222090905
031502030201,40.33644340734843,46.03837222663529,55.464572602171884,63.37986255547437,74.4200902016981,83.0449957750147,91.76762125178666,100.71920260415214,112.70710394727107,121.89568337084205,55.96800000897673,63.48334616457162,76.59500317234229,88.24783533212958,105.43504811338944,119.5936332379621,134.54071002201098,150.51351833583826,172.87765266230838,190.740745459071,67.36823842047149,76.37933816298276,92.94101296153544,108.39980593518523,132.22854375050312,152.6160738635598,174.75541633953299,199.01188462397596,233.84947987486342,262.30280595177396,94.89694890794938,109.34468739703233,136.9581672400367,163.62292835281872,205.89777624781703,242.89346978309953,283.72089677397076,329.0602287058323,395.05575221797807,449.5628207095142,122.18658657988726,138.97290278940966,172.0615626035782,204.8251966714872,257.80306203021473,304.8740605885374,357.3624367773574,416.15946260093483,502.4504328970295,574.2084728370146
031502030202,40.937875302635774,46.81532567342789,56.51351978591633,64.64363057991108,75.95629008380028,84.77259559174361,93.67400011740328,102.79243406119305,114.9765927052784,124.29568310659873,56.658326006665725,64.46494502708565,78.09339226803972,90.2139146708759,108.10110173792351,122.84384579755712,138.41564266577655,155.06340089992696,178.3798373796584,197.0125569990408,68.12006908446945,77.4366101047395,94.63639166772492,110.76209649195998,135.70808136814657,157.11471866430148,180.4126809648475,205.98548181798802,242.78146622025272,272.8813908402693,96.11360212248391,110.84809927048794,139.30699080214828,167.026773404605,211.283135429884,250.22222116033822,293.35454554173936,341.40572029173455,411.55702383192835,469.63953753573725,123.61415607303185,140.79783028471869,174.91108211307213,208.87926517192608,264.0383144560681,313.20733470839036,368.1563028493089,429.81586065073196,520.4657701647807,595.9526092277933
031502030203,41.340981443481844,47.22182101579965,56.973696454646046,65.19314999528102,76.6960949932711,85.7151325334319,94.86578761415899,104.28378438221932,116.94127073439746,126.67323846413089,57.04201143585329,64.97100443859064,78.8865207533649,91.3314280805862,109.79298678020375,125.08024565643088,141.28544278715304,158.662128437265,183.08532119931988,202.657263377615,68.46894247536437,78.00321960308186,95.6808621941029,112.31532990190472,138.13236800589576,160.34718913898237,184.56688884999036,211.19500676095416,249.572372182551,281.0071956808236,96.6577675473627,111.53838765790064,140.47005397506393,168.80848411978744,214.24388232370833,254.3575382082295,298.88870261455645,348.59366618615735,421.2915530163096,481.5722476387753,123.83656729751861,141.17158417143432,175.78018917287096,210.39504725348968,266.7916234683955,317.18964588213635,373.60413200648986,436.99884579894433,530.3179395024748,608.1122625064897
031502030204,40.54258611616284,46.4073623133204,56.07483924081358,64.1718423701295,75.42925244313,84.1963421761184,93.0393764026182,102.09021797951728,114.17679418793942,123.41202226110883,56.1059694187117,63.9031622161866,77.509333737903,89.60489528153585,107.45170368289583,122.15733736933116,137.68462396223416,154.28028847316963,177.52237602948483,196.08875960608924,67.51617783433247,76.83352218295927,93.99985901469812,110.0605216042594,134.86350430465973,156.11854375319396,179.22519422986824,204.5693524952299,241.0034859846506,270.7825869882995,95.32982538510021,109.99299597533246,138.17822005649728,165.52808718541795,209.05734300261597,247.26553735296795,289.51689982231136,336.52319018335277,405.05631360494044,461.7397772875773,122.2738779309487,139.29203395517087,172.98034751929094,206.44861933608797,260.7053886032331,309.0058184794464,362.93698099301986,423.41266638136483,512.2606332584659,586.2067582020176
031502030205,39.66056764373976,45.254089537317725,54.506057153355734,62.28377937003832,73.13947664758707,81.62817152278723,90.21805380449477,99.03957837572094,110.86413828873853,119.93358736151836,55.07852528718414,62.46307484289523,75.30992132233186,86.69293129911757,103.43821910256149,117.1977006774373,131.6952479482522,147.16142616853998,168.77772247494133,186.01375737895978,66.3782398969277,75.29704188928828,91.54365588334744,106.58891109711146,129.62250068034135,149.2175105724351,170.41063547072648,193.54692818847627,226.65900471898144,253.6200178914198,93.6235304760652,107.87602635231578,134.78705169519043,160.51178568413212,200.96068855019024,236.1292207598841,274.762006001569,317.5027757602504,379.48633541497566,430.5186501198577,120.31133042495507,136.76777419239164,168.94836310312394,200.61104850779984,251.55730932913437,296.65591702314873,346.8165370653518,402.88832060315076,485.0191146656066,553.2050509778599
031502030206,39.26726360164052,44.79932961621397,53.962531191907594,61.6744443950306,72.45284042751196,80.89137357523593,89.44024338683548,98.22807841734529,110.02331455144946,119.07950053158707,54.53702198634258,61.85074524775299,74.57806780766481,85.86075156557962,102.46397946911411,116.11217293419865,130.49703092459268,145.84526278601885,167.30270139277127,184.4176090913618,65.77733062432186,74.63737525220377,90.70280834375983,105.52026496203602,128.123922512957,147.2941490150411,167.98079928814016,190.5235124082488,222.72350586048174,248.89734002108202,93.05117034732109,107.1436751984939,133.43110178229395,158.2945419807558,197.05036663266614,230.50939053288155,267.08544489599984,307.380681332881,365.57610373064534,413.3277367865731,119.42966931947007,135.6213538693358,166.93723116018174,197.47720724728242,246.27722400426993,289.24464986233255,336.8611978450731,389.9308476581804,467.43631278418854,531.6295888654905
031502030207,39.85591251697125,45.54943551422231,54.95906496760657,62.861186932947476,73.878970442788,82.48460632977195,91.18669595164843,100.11511964024234,112.07106591113318,121.23265885921599,55.254579200280865,62.785516256196274,75.95328931887123,87.68059377623247,105.01338046718769,119.31906099300468,134.44312015528132,150.62490525014056,173.3128017335997,191.45525805220024,66.57341483165669,75.63001138668056,92.22262926728567,107.6689500439168,131.42484289803474,151.71045746048352,173.7097356477984,197.78423244625657,232.32087525834126,260.4978989526005,94.06049149441752,108.44499400036344,135.54063431106246,161.3902713635228,201.96844181073467,237.20314262575582,275.8709929148362,318.6205206120026,380.56443915840794,431.5360037032035,120.4849859255758,137.04800971827325,169.26859802633336,200.8392836977442,251.47090289960312,296.18059881438927,345.82369919445654,401.23948031584115,482.2994374019688,549.5219418288194
