nhdplus_comid,site_no
18227431,02464360
18227451,02464146
18227465,02464360
18227473,02462000
18227501,02464360
18227503,02464146
18227533,02464146
18227539,02464360
18227543,02464360
18227551,02464146
18227553,02464146
18227587,02464146
18227641,02461500
18227651,02464360
18227655,02461500
18227687,02461500
18227697,02461500
18227699,02461500
18227767,02461500
18228193,02462800
18228195,02462800
18228289,02462800
18228307,02462800
18228397,02462800
18228425,02462800
18228707,02463500
18228745,02463500
18228807,02463500
18228809,02463500
18229143,02464000
18229157,02462000
18229167,02464146
18229179,02462800
18229183,02462800
18229205,02463500
18229243,02463500
18229287,02462500
18229291,02462500
18229297,02462500
18229299,02462500
18229301,02462500
18229307,02462500
18229313,02462500
18229315,02462500
18229319,02462500
18229333,02462500
18229335,02462500
18229349,02462500
18229351,02462500
18229361,02462500
18229365,02462500
18229371,02462500
18229387,02462500
18229391,02462500
18229405,02461500
18229407,02461500
18229425,02462500
18229453,02462500
18229461,02462500
18229465,02464360
18229471,02464360
18229481,02464146
18229483,02464146
18229485,02462500
18229491,02464146
18229495,02462500
18229501,02462500
18229503,02464360
18229509,02464146
18229509,02464500
18229511,02464360
18229515,02462500
18229529,02464146
18229529,02464360
18229529,02464500
18229579,02464500
18229585,02464360
18229585,02464500
18229589,02464500
18229591,02464500
18229597,02464500
18229599,02464500
18229601,02464500
18229607,02464500
18229631,02464500
18229639,02464500
18229669,02462951
18229693,02462951
18229709,02464500
18229719,02462951
18229733,02464500
18229739,02464500
18229751,02462951
18229767,02464500
18229771,02462951
18229811,02462951
18229831,02462951
18229837,02462951
18229843,02462951
18229845,02462951
18229849,02462951
18229857,02462951
18229873,02462951
18229873,02465000
18229879,02462951
18229879,02465000
18229891,02462951
18229891,02465000
18229897,02462951
18229897,02465000
18229901,02462951
18229901,02465000
18229905,02462951
18229905,02465000
18229909,02465000
18229923,02465000
18230169,02464360
18230177,02461500
18232673,02462500
18232675,02462951
18237681,02428300
18237755,02428300
18237757,02428300
18237769,02428300
18237773,02428300
18237791,02428300
18237799,02428300
18237807,02428300
18237817,02428300
18237847,02428300
18237867,02428300
18237875,02428300
18238655,02428500
18238695,02428500
18238723,02428500
18238747,02428500
18238755,02428500
18238773,02428500
18238823,02428500
18238827,02428500
18238833,02428500
18238835,02428500
18238903,02428500
18238983,02429000
18238985,02429000
18238987,02429000
18238989,02429000
18238997,02429000
18239005,02429000
18239007,02429000
18239103,02429000
18239153,02429000
18239461,02429000
18239481,02429000
18239493,02429000
18239503,02429000
18239597,02428400
18239609,02428400
18239619,02428400
18239627,02428400
18239631,02428400
18239637,02428400
18239645,02428400
18239647,02428400
18239647,02429500
18239649,02428400
18239649,02429500
18239653,02428400
18239653,02429500
18239659,02429000
18239661,02429000
18239665,02428400
18239665,02429500
18239669,02428400
18239669,02429500
18239673,02428400
18239673,02429500
18239679,02429500
18239683,02428400
18239683,02429500
18239689,02429500
18239693,02429500
18239697,02429500
18241331,02429595
18241419,02429595
18241439,02429595
18241447,02429595
18241449,02429595
18241451,02429595
18241455,02429595
18241457,02429595
18241459,02429595
18241461,02429595
18241471,02429595
18241483,02429595
18241485,02429595
18241487,02429595
18241491,02429595
18241499,02429595
18241771,02429650
18241787,02429650
18241819,02429650
18241833,02429650
18241835,02429650
18241851,02429650
18241891,02429650
18241895,02429650
18241911,02429650
18241913,02429650
18241951,02429650
18241959,02429650
18241967,02429650
18242009,02429650
18242019,02429650
18242235,02429595
18242253,02429595
18242277,02429595
18242321,02429595
18242731,02429650
18242747,02429650
18242755,02429650
18242761,02429650
18242763,02429650
18246529,02429650
18514344,02378500
18514348,02378500
18514372,02378500
18514394,02378500
18514402,02378500
18514430,02378500
18514442,02378500
18514460,02378500
18514778,02378500
18514784,02378500
18514794,02378500
18515336,02471065
18515372,02471065
18515578,02471065
18515590,02471065
18515610,02471078
18515638,02471065
18515646,02471065
18515656,02471065
18515668,02471065
18515934,02378500
18515938,02378500
18515946,02378500
18515950,02378500
18515976,02378300
18515982,02378300
18515986,02378300
18515998,02378300
18516002,02378300
18516006,02378300
18516010,02378300
18516128,02378300
18516160,02378500
18516176,02378300
18516178,02378300
18516184,02378300
18516188,02378300
18516196,02378300
18516910,02471078
18517078,02471078
18523529,02471000
18523531,02471000
18523531,02471001
18523535,02471000
18523535,02471001
18523553,02471000
18523553,02471001
18523563,02471000
18523563,02471001
18523567,02471000
18523567,02471001
18523609,02471000
18523609,02471001
18523615,02471000
18523615,02471001
18523647,02471000
18523647,02471001
18523969,02471000
18523969,02471001
18523977,02471000
18523977,02471001
18524001,02471000
18524001,02471001
18524049,02471000
18524049,02471001
18531394,02467500
18531410,02467500
18531456,02467500
18531500,02467500
18531598,02467500
18531678,02467500
18531726,02467500
18531742,02467500
18531778,02467500
18531802,02467500
18531918,02467500
18531970,02467500
18532044,02467500
18532094,02467500
18532286,02467500
18532916,02468000
18532982,02468000
18533012,02468000
18533074,02468000
18533082,02468000
18533100,02468000
18533130,02468000
18533178,02468000
