Station ID,State,Station name,Latitude,Longitude,Post-merge station ID,Co-located station ID,Base duration,Source of data,Period of record,Elevation (ft)
01-3105,AL,FRISCO CITY 3 SSW,31.3894,-87.4203,,,1-day,NCDC,7/1930-11/2000,275
01-3151,AL,GADSDEN,34.0167,-86.0,01-3154,,1-day,NCDC,7/1893-3/1968,571
01-3154,AL,GADSDEN,34.0219,-85.9878,,,1-day,NCDC,7/1893-10/2011,565
01-3160,AL,GAINESVILLE LOCK,32.8347,-88.1342,,,1-day,NCDC,6/1948-10/2011,125
01-3200,AL,GARDEN CITY,34.0167,-86.75,01-3655,,1-day; 1-hour,NCDC,3/1938-12/1983; 6/1948-3/1973,502
01-3251,AL,GENEVA #2,31.0383,-85.8708,,,1-day,NCDC,1/1892-10/2011,145
01-3255,AL,GENEVA,31.0386,-85.87,01-3251,,1-day,NCDC,1/1892-3/1976,106
01-3271,AL,GEORGIANA,31.6772,-86.8061,,,1-day,NCDC,2/1956-7/2004,300
01-3399,AL,GOODWATER,33.0667,-86.05,,,1-day,NCDC,11/1895-6/1954,1010
01-3430,AL,GORGAS 2 ENE,33.6667,-87.1833,,,1-day,NCDC,1/1937-10/1994,350
01-3511,AL,GREENSBORO,32.7017,-87.5808,,,1-day,NCDC,2/1890-7/2011,220
01-3519,AL,GREENVILLE,31.7901,-86.6087,,,1-day; 1-hour; 15-min,NCDC,9/1900-10/2011; 6/1948-12/2010; 9/1971-12/2010,342
01-3524,AL,GREENVILLE 2,31.8333,-86.6333,01-3519,,1-hour,NCDC,6/1948-11/1966,420
01-3573,AL,GUNTERSVILLE,34.3344,-86.3297,,,1-day,NCDC,12/1904-10/2011,578
01-3620,AL,HALEYVILLE,34.2311,-87.6347,,,1-day; 1-hour; 15-min,NCDC,11/1902-7/2011; 6/1948-12/2010; 3/1977-12/2010,920
01-3644,AL,HAMILTON,34.1333,-87.9833,01-3645,,1-day,NCDC,9/1930-12/1961,551
01-3645,AL,HAMILTON 3 S,34.0967,-87.9914,,,1-day; 1-hour,NCDC,9/1930-10/2011; 11/1967-12/2010,435
01-3655,AL,HANCEVILLE,34.0675,-86.7917,,,1-day; 1-hour; 15-min,NCDC,6/1948-10/2011; 6/1948-11/2007; 4/1973-11/2007,592
01-3748,AL,HAYNEVILLE,32.1833,-86.5833,,,1-day,NCDC,3/1938-6/1981,171
01-3761,AL,HEADLAND,31.3625,-85.3397,,,1-day,NCDC,4/1950-10/2011,370
01-3775,AL,HEFLIN,33.6483,-85.6006,,,1-day,NCDC,1/1956-10/2011,850
01-3781,AL,HELENA,33.2725,-86.8336,,,1-day,NCDC,9/1900-10/2011,480
01-3783,AL,HELENA 1 S,33.2833,-86.85,01-3781,,1-day,NCDC,9/1900-8/1951,416
01-3816,AL,HIGHLAND HOME,31.8814,-86.2503,,,1-day,NCDC,5/1892-10/2011,433
01-3842,AL,HIGHTOWER,33.5172,-85.3781,,,1-day,NCDC,8/1941-10/2011,1175
01-3899,AL,HODGES,34.3606,-87.9283,,,1-day,NCDC,3/1938-3/2000,840
01-4064,AL,HUNTSVILLE INTNL AP,34.6439,-86.7861,,,1-day; 1-hour,NCDC,1/1937-10/2010; 11/1958-12/2010,624
01-4068,AL,HUNTSVILLE 4 SSE,34.7,-86.5833,01-4064,,1-day,NCDC,1/1937-7/1954,610
01-4192,AL,JACKSON LOCK 1,31.55,-88.0167,01-4193,,1-day,NCDC,1/1930-10/1960,10
01-4193,AL,JACKSON,31.525,-87.9278,,,1-day; 1-hour; 15-min,NCDC,1/1930-10/2011; 10/1961-12/2010; 4/1974-12/2010,220
01-4209,AL,JACKSONVILLE,33.8164,-85.7661,,,1-day; 1-hour,NCDC,7/1948-10/2011; 6/1948-12/2010,688
01-4226,AL,JASPER,33.9053,-87.315,,,1-day,NCDC,8/1960-10/2011,486
01-4306,AL,JORDAN DAM,32.6167,-86.25,,,1-day,NCDC,1/1937-10/2011,290
01-4431,AL,KINSTON,31.2403,-86.1947,,,1-day,NCDC,6/1965-12/2006,270
01-4502,AL,LAFAYETTE 2W,32.9069,-85.4336,,,1-day,NCDC,11/1944-10/2011,740
01-4603,AL,LAY DAM,32.9667,-86.5167,,,1-day,NCDC,1/1937-10/2011,420
01-4619,AL,LEEDS,33.5447,-86.5272,,,1-day,NCDC,2/1917-10/2011,636
