huc12,duration_hours,historical_max_mm,historical_max_ratio_to_2yr,historical_max_lower_ari,historical_max_ratio_to_100yr,qualifying_event_count,latest_event_time_utc,event_count_ge_2yr,event_count_ge_5yr,event_count_ge_10yr,event_count_ge_25yr,event_count_ge_50yr,event_count_ge_100yr
031401030203,6,135.72239685058594,1.441187384653492,10.0,0.6094270970669042,9,2022-03-18 20:00:00+00:00,9,2,1,0,0,0
031401030203,24,263.0792541503906,1.9743261947863144,10.0,0.6849522798130351,10,2020-09-16 20:00:00+00:00,10,6,4,0,0,0
031401030203,72,434.2081604003906,2.6328228804410188,50.0,0.9275376484523415,10,2020-09-16 23:00:00+00:00,10,7,6,2,1,0
031401030301,3,90.20094299316406,1.1770105098939194,2.0,0.5313015059581475,2,2022-03-18 19:00:00+00:00,2,0,0,0,0,0
031401030301,6,133.375,1.4401110675845918,10.0,0.5903459769443938,9,2024-04-11 01:00:00+00:00,9,1,1,0,0,0
031401030301,24,237.5068817138672,1.8259942286413264,10.0,0.6355086007989348,12,2020-09-16 21:00:00+00:00,12,7,4,0,0,0
031401030301,72,370.248291015625,2.289688900183531,25.0,0.8128288653692956,10,2020-09-16 23:00:00+00:00,10,7,6,2,0,0
031401030302,1,58.78606033325195,1.0786749368333004,2.0,0.5245847432392385,2,2022-03-18 17:00:00+00:00,2,0,0,0,0,0
031401030302,3,94.85450744628906,1.2393795314128622,5.0,0.5663003910685551,4,2022-03-18 18:00:00+00:00,4,3,0,0,0,0
031401030302,6,117.3913345336914,1.2666882895822398,5.0,0.5239710168408245,9,2024-04-11 01:00:00+00:00,9,2,0,0,0,0
031401030302,24,237.65460205078125,1.8112373464399114,10.0,0.6299079938774439,12,2020-09-16 21:00:00+00:00,12,6,4,0,0,0
031401030302,72,406.5138854980469,2.4953296142108936,50.0,0.8841867770028283,12,2020-09-16 23:00:00+00:00,12,7,6,2,1,0
031401030303,3,100.17167663574219,1.275279488139153,5.0,0.5922504782981229,6,2022-03-18 19:00:00+00:00,6,3,0,0,0,0
031401030303,6,133.63427734375,1.4048852804456013,5.0,0.5908982650204752,10,2024-04-11 01:00:00+00:00,10,4,0,0,0,0
031401030303,24,233.83584594726562,1.7670412767314134,10.0,0.6134784753990769,12,2020-09-16 20:00:00+00:00,12,5,3,0,0,0
031401030303,72,387.7320861816406,2.363296385919549,25.0,0.8360226518949659,10,2020-09-16 21:00:00+00:00,10,6,5,2,0,0
031401030304,1,58.92618942260742,1.0719091193966408,2.0,0.5241513992502016,1,1995-10-04 12:00:00+00:00,1,0,0,0,0,0
031401030304,3,101.17417907714844,1.3041064417010297,5.0,0.6035334572146966,4,2022-03-18 19:00:00+00:00,4,1,0,0,0,0
031401030304,6,122.1534423828125,1.2995043844722354,5.0,0.5441562587550116,9,2024-04-11 01:00:00+00:00,9,2,0,0,0,0
031401030304,24,232.97544860839844,1.7639085560825032,10.0,0.6127727670848856,11,2020-09-16 20:00:00+00:00,11,5,4,0,0,0
031401030304,72,403.42840576171875,2.463225450110333,50.0,0.871358986042842,10,2020-09-16 23:00:00+00:00,10,7,5,2,1,0
031401030305,1,60.99412155151367,1.097408983968255,2.0,0.5400390652937919,3,2020-09-16 13:00:00+00:00,3,0,0,0,0,0
031401030305,3,118.41575622558594,1.4978397363767204,10.0,0.7040048597244346,5,2022-03-18 19:00:00+00:00,5,2,1,0,0,0
031401030305,6,167.30303955078125,1.7432936986169112,25.0,0.7427685028805885,7,2022-03-18 20:00:00+00:00,7,3,1,1,0,0
031401030305,24,286.0247497558594,2.1442850164268155,25.0,0.7474533751563079,11,2020-09-16 19:00:00+00:00,11,5,3,1,0,0
031401030305,72,409.8975830078125,2.485785792633985,50.0,0.8772338695756816,9,2020-09-16 21:00:00+00:00,9,6,5,3,1,0
031401030401,1,60.69912338256836,1.0879070721252588,2.0,0.5358293306538084,2,2020-09-16 13:00:00+00:00,2,0,0,0,0,0
031401030401,3,125.02362060546875,1.5640505720966558,10.0,0.7402700394965571,4,2022-03-18 19:00:00+00:00,4,2,1,0,0,0
031401030401,6,186.27760314941406,1.9149810379995347,25.0,0.8247330476298119,7,2020-09-16 16:00:00+00:00,7,2,1,1,0,0
031401030401,24,310.5102233886719,2.3184840050343554,25.0,0.8115543951628622,8,2020-09-16 19:00:00+00:00,8,5,3,1,0,0
031401030401,72,395.45257568359375,2.3987028948887565,50.0,0.8440654304609037,12,2020-09-16 21:00:00+00:00,12,6,5,2,1,0
031401030402,1,56.945743560791016,1.0135143472284038,2.0,0.5008285199018353,1,2012-02-19 00:00:00+00:00,1,0,0,0,0,0
031401030402,3,110.35877990722656,1.3672077381169014,10.0,0.6508222192717524,7,2020-09-16 14:00:00+00:00,7,1,1,0,0,0
031401030402,6,169.82040405273438,1.7276933404969324,25.0,0.749215950530738,7,2020-09-16 16:00:00+00:00,7,2,2,1,0,0
031401030402,24,291.0451965332031,2.157828451158017,25.0,0.7591825607453753,9,2020-09-16 18:00:00+00:00,9,4,3,1,0,0
031401030402,72,403.43231201171875,2.4332002421570365,50.0,0.8584857734193265,14,2020-09-16 21:00:00+00:00,14,6,4,2,1,0
031401030403,3,109.68124389648438,1.339905155587023,5.0,0.6430544261622576,6,2017-10-08 10:00:00+00:00,6,1,0,0,0,0
031401030403,6,155.30838012695312,1.5520340777274981,10.0,0.6807472721147081,7,2020-09-16 15:00:00+00:00,7,4,2,0,0,0
031401030403,24,265.81671142578125,1.943726531397979,10.0,0.6882189897306897,12,2020-09-16 19:00:00+00:00,12,6,2,0,0,0
031401030403,72,403.6788330078125,2.413684451089675,50.0,0.8507850119284213,13,2020-09-16 20:00:00+00:00,13,6,3,2,1,0
031401030601,1,74.82073211669922,1.3273987285644617,5.0,0.6583930953949375,2,2020-09-16 13:00:00+00:00,2,1,0,0,0,0
031401030601,3,127.96318054199219,1.587518737818071,10.0,0.7547324424189542,7,2020-09-16 14:00:00+00:00,7,3,1,0,0,0
031401030601,6,181.51966857910156,1.855288137531238,25.0,0.8018727652691393,8,2020-09-16 15:00:00+00:00,8,4,2,1,0,0
031401030601,24,300.59967041015625,2.231548633927689,25.0,0.7861227435441395,14,2020-09-16 17:00:00+00:00,14,4,2,1,0,0
031401030601,72,390.9990234375,2.3499032845291636,25.0,0.8338359620269647,13,2020-09-16 21:00:00+00:00,13,6,3,2,0,0
031401030602,1,120.4738998413086,2.1342452131275707,100.0,1.059700213245224,1,2024-06-10 21:00:00+00:00,1,1,1,1,1,1
031401030602,3,154.4581756591797,1.9089398498642896,50.0,0.9119648126043273,8,2024-06-10 22:00:00+00:00,8,3,2,1,1,0
031401030602,6,178.87258911132812,1.8176464028770922,25.0,0.7897302591678812,6,2024-06-10 22:00:00+00:00,6,5,3,1,0,0
031401030602,24,300.3233642578125,2.2184615103028804,25.0,0.7822697450574629,12,2024-06-10 22:00:00+00:00,12,4,2,1,0,0
031401030602,72,404.2808532714844,2.4245003499834707,50.0,0.8589613773243656,13,2020-09-16 21:00:00+00:00,13,6,3,2,1,0
031401040101,1,60.56298065185547,1.0883478062665874,2.0,0.5367797399946879,2,2005-03-27 19:00:00+00:00,2,0,0,0,0,0
031401040101,3,124.43963623046875,1.5652565467981903,10.0,0.7409585067271295,6,2020-09-16 15:00:00+00:00,6,3,1,0,0,0
031401040101,6,170.29153442382812,1.7604264218200647,25.0,0.7553473752452258,10,2020-09-16 17:00:00+00:00,10,4,2,1,0,0
031401040101,24,311.7402038574219,2.330049260666161,25.0,0.8064618297040709,10,2020-09-16 19:00:00+00:00,10,6,4,1,0,0
031401040101,72,402.25433349609375,2.439456809612318,50.0,0.8519096179490978,12,2020-09-16 20:00:00+00:00,12,8,5,3,1,0
031401040102,1,57.85062789916992,1.0386813546473448,2.0,0.5113063450184648,1,1995-10-04 12:00:00+00:00,1,0,0,0,0,0
031401040102,3,123.22940826416016,1.5443294513662442,10.0,0.730554125796264,5,2020-09-16 15:00:00+00:00,5,3,2,0,0,0
031401040102,6,177.10838317871094,1.8226229181188225,25.0,0.7837673171879518,8,2020-09-16 16:00:00+00:00,8,2,2,2,0,0
031401040102,24,322.86383056640625,2.4105557235984314,25.0,0.8393448186756592,12,2020-09-16 19:00:00+00:00,12,6,4,1,0,0
031401040102,72,394.06878662109375,2.391140860941077,50.0,0.8374808228079168,12,2020-09-16 20:00:00+00:00,12,9,5,3,1,0
031401040103,1,61.03989791870117,1.0897115210839303,2.0,0.5385625116303729,1,1995-10-04 12:00:00+00:00,1,0,0,0,0,0
031401040103,3,96.73072814941406,1.2085367564041167,5.0,0.5729959373083064,5,2020-04-23 16:00:00+00:00,5,1,0,0,0,0
031401040103,6,136.4347686767578,1.4014462164332278,5.0,0.602445593172684,7,2020-09-16 19:00:00+00:00,7,4,0,0,0,0
031401040103,24,288.8822021484375,2.1475268838175694,25.0,0.7439972909077974,9,2020-09-16 19:00:00+00:00,9,6,4,2,0,0
031401040103,72,396.78253173828125,2.391414339902038,25.0,0.8345391793322091,11,2020-09-16 22:00:00+00:00,11,5,5,2,0,0
