huc12_a,huc12_b
031403050101,031502040502
031403050102,031403050401
031403050102,031403050301
031403050102,031403050206
031403050201,031403050203
031403050201,031403050204
031403050201,031403050202
031403050201,031502040302
031403050202,031502040502
031403050202,031403050204
031403050202,031502040404
031403050202,031502040403
031403050202,031502040302
031403050202,031502040303
031403050203,031403050205
031403050203,031403050204
031403050203,031502040302
031403050204,031403050205
031403050204,031502040502
031403050205,031403050206
031403050205,031502040502
031403050206,031403050301
031403050206,031502040502
031403050301,031403050401
031403050301,031403050302
031403050302,031403050402
031403050302,031403050401
031403050401,031403050402
031403050401,031403050501
031501050101,031501050903
031501050101,031501050904
031501050101,031501050907
031501050106,031501050301
031501050106,031501050206
031501050106,031501050907
031501050204,031501050206
031501050204,031501050604
031501050206,031501050301
031501050206,031501050302
031501050206,031501050207
031501050206,031501050605
031501050206,031501050604
031501050207,031501050302
031501050207,031501050304
031501050207,031501051002
031501050207,031501050605
031501050301,031501050907
031501050301,031501050302
031501050302,031501050907
031501050302,031501050303
031501050302,031501050304
031501050303,031501050907
031501050303,031501050909
031501050303,031501050304
031501050303,031501051002
031501050304,031501051002
031501050501,031501050502
031501050501,031501050802
031501050501,031501050705
031501050501,031501050701
031501050502,031501050605
031501050502,031501050807
031501050502,031501050604
031501050502,031501050802
031501050604,031501050605
031501050605,031501051002
031501050605,031501050807
031501050701,031501050705
031501050701,031501050702
031501050702,031501050705
031501050702,031501050704
031501050702,031501050703
031501050703,031501050704
031501050703,060200011101
031501050703,060200011102
031501050704,031501060101
031501050704,031501050802
031501050704,031501050705
031501050704,060200011101
031501050705,031501050802
031501050801,031501050803
031501050801,031501060101
031501050801,031501050806
031501050801,031501050802
031501050802,031501050807
031501050802,031501060101
031501050802,031501050806
031501050803,031501050804
031501050803,031501060102
031501050803,031501060101
031501050803,031501050806
031501050804,031501051001
031501050804,031501050805
031501050804,031501060102
031501050804,031501050806
031501050805,031501051002
031501050805,031501050807
031501050805,031501051001
031501050805,031501050806
031501050806,031501050807
031501050807,031501051002
031501050901,031501080303
031501050901,031501050902
031501050901,031501080403
031501050901,031501060501
031501050901,031501060502
031501050901,031501050905
031501050901,031501050906
031501050901,031501050904
031501050902,031501080303
031501050902,031501080205
031501050902,031501050903
031501050902,031501050904
031501050903,031501080205
031501050903,031501050904
031501050904,031501050906
031501050904,031501050907
031501050905,031501060502
031501050905,031501060402
031501050905,031501050906
031501050905,031501050908
031501050906,031501050908
031501050906,031501050907
031501050907,031501050908
031501050907,031501050909
031501050908,031501060201
031501050908,031501060402
031501050908,031501050909
031501050909,031501060201
031501050909,031501051002
031501050909,031501051003
031501051001,031501060107
031501051001,031501051002
031501051001,031501051003
031501051001,031501060102
031501051002,031501051003
031501051003,031501060201
031501051003,031501060204
031501051003,031501060107
031501060101,031501060102
031501060101,060300010703
031501060101,060300010702
031501060101,060200011101
031501060102,031501060107
031501060102,031501060106
031501060102,031501060103
031501060102,060300010703
031501060102,060300010801
031501060102,060300010803
031501060103,031501060104
031501060103,031501060106
031501060103,060300010802
031501060103,060300010801
031501060104,031501060108
031501060104,031501060105
031501060104,031501060106
031501060104,060300010802
031501060105,031601110102
031501060105,031501060306
031501060105,031501060304
031501060105,031501060108
031501060105,031601110101
031501060105,060300010802
031501060106,031501060107
031501060106,031501060108
031501060107,031501060204
031501060107,031501060108
031501060108,031501060204
031501060108,031501060309
031501060108,031501060306
031501060201,031501060404
031501060201,031501060203
031501060201,031501060202
031501060201,031501060204
031501060201,031501060402
031501060202,031501060203
031501060202,031501060204
031501060203,031501060405
031501060203,031501060404
031501060203,031501060204
031501060203,031501060309
031501060204,031501060309
031501060301,031502020101
031501060301,031502020102
031501060301,031501060307
031501060301,031501060302
031501060301,031501060303
031501060302,031502020101
031501060302,031601110303
031501060302,031601110207
031501060302,031501060303
031501060302,031601110204
031501060303,031501060307
031501060303,031601110204
031501060303,031601110102
031501060303,031501060305
031501060303,031501060304
031501060304,031601110102
031501060304,031501060305
031501060304,031501060306
031501060305,031501060307
031501060305,031501060306
031501060306,031501060307
031501060306,031501060309
031501060307,031501060805
031501060307,031502020102
031501060307,031501060308
031501060307,031501060309
031501060308,031501060805
031501060308,031501060602
031501060308,031501060601
031501060308,031501060309
031501060309,031501060601
031501060309,031501060409
031501060309,031501060405
031501060401,031501060407
031501060401,031501060403
031501060401,031501060504
031501060401,031501060502
031501060401,031501060402
031501060402,031501060403
031501060402,031501060404
031501060402,031501060502
031501060403,031501060407
031501060403,031501060406
031501060403,031501060405
031501060403,031501060404
031501060404,031501060405
031501060405,031501060409
031501060405,031501060406
031501060406,031501060407
031501060406,031501060408
031501060406,031501060409
031501060407,031501060513
031501060407,031501060507
031501060407,031501060506
031501060407,031501060505
031501060407,031501060408
031501060407,031501060504
031501060408,031501060513
031501060408,031501060604
031501060408,031501060603
031501060408,031501060409
031501060409,031501060603
031501060409,031501060601
031501060501,031501080404
031501060501,031501060504
031501060501,031501080403
031501060501,031501060502
031501060502,031501060504
031501060503,031501081003
031501060503,031501081002
031501060503,031501060508
031501060503,031501060507
031501060503,031501060504
031501060504,031501081002
031501060504,031501060507
031501060504,031501080404
