catalog_event_id,matched_flood_report_count,matched_flash_flood_count,matched_property_damage_usd,matched_crop_damage_usd,matched_direct_deaths,matched_direct_injuries
AL-RF-20010404-0123,14,14,136000.0,0.0,0.0,0.0
AL-RF-20010810-0124,4,4,170000.0,0.0,0.0,4.0
AL-RF-20010903-0125,2,1,28000.0,0.0,1.0,1.0
AL-RF-20010904-0126,2,1,28000.0,0.0,1.0,1.0
AL-RF-20011014-0127,0,0,0.0,0.0,0.0,0.0
AL-RF-20011125-0128,1,1,10000.0,0.0,0.0,0.0
AL-RF-20011130-0129,0,0,0.0,0.0,0.0,0.0
AL-RF-20011214-0130,0,0,0.0,0.0,0.0,0.0
AL-RF-20020119-0131,0,0,0.0,0.0,0.0,0.0
AL-RF-20020125-0132,8,8,805000.0,0.0,0.0,0.0
AL-RF-20020331-0133,0,0,0.0,0.0,0.0,0.0
AL-RF-20020504-0134,2,2,35000.0,0.0,0.0,0.0
AL-RF-20020629-0135,0,0,0.0,0.0,0.0,0.0
AL-RF-20020914-0136,2,2,0.0,0.0,0.0,0.0
AL-RF-20020927-0137,14,14,6210000.0,0.0,0.0,0.0
AL-RF-20021004-0138,0,0,0.0,0.0,0.0,0.0
AL-RF-20021028-0139,0,0,0.0,0.0,0.0,0.0
AL-RF-20021106-0140,0,0,0.0,0.0,0.0,0.0
AL-RF-20021111-0141,0,0,0.0,0.0,0.0,0.0
AL-RF-20021112-0142,0,0,0.0,0.0,0.0,0.0
AL-RF-20021224-0143,1,1,0.0,0.0,0.0,0.0
AL-RF-20030216-0144,4,4,0.0,0.0,0.0,0.0
AL-RF-20030222-0145,40,40,22000.0,0.0,0.0,0.0
AL-RF-20030306-0146,1,1,8000.0,0.0,0.0,0.0
AL-RF-20030407-0147,13,12,527000.0,250000.0,1.0,0.0
AL-RF-20030425-0148,2,1,85000.0,25000.0,0.0,0.0
AL-RF-20030503-0149,1,0,0.0,0.0,0.0,0.0
AL-RF-20030508-0150,49,29,1014138000.0,375000.0,0.0,1.0
AL-RF-20030518-0151,29,14,656000.0,0.0,0.0,0.0
AL-RF-20030522-0152,9,0,0.0,0.0,0.0,0.0
AL-RF-20030607-0153,3,3,0.0,0.0,0.0,0.0
AL-RF-20030613-0154,0,0,0.0,0.0,0.0,0.0
AL-RF-20030614-0155,1,1,30000.0,0.0,0.0,0.0
AL-RF-20030618-0156,13,13,450000.0,0.0,0.0,0.0
AL-RF-20030619-0157,3,3,0.0,0.0,0.0,0.0
AL-RF-20030620-0158,3,3,0.0,0.0,0.0,0.0
AL-RF-20030627-0159,0,0,0.0,0.0,0.0,0.0
AL-RF-20030701-0160,24,23,248000.0,0.0,0.0,0.0
AL-RF-20030714-0161,1,1,8000.0,0.0,0.0,0.0
AL-RF-20030816-0162,1,0,0.0,0.0,0.0,0.0
AL-RF-20030922-0163,0,0,0.0,0.0,0.0,0.0
AL-RF-20031119-0164,0,0,0.0,0.0,0.0,0.0
AL-RF-20031127-0165,0,0,0.0,0.0,0.0,0.0
AL-RF-20040206-0166,49,35,377000.0,0.0,0.0,0.0
AL-RF-20040226-0167,1,1,0.0,0.0,0.0,0.0
AL-RF-20040306-0168,12,11,0.0,0.0,1.0,0.0
AL-RF-20040408-0169,0,0,0.0,0.0,0.0,0.0
AL-RF-20040430-0170,0,0,0.0,0.0,0.0,0.0
AL-RF-20040502-0171,0,0,0.0,0.0,0.0,0.0
AL-RF-20040531-0172,1,1,10000.0,0.0,0.0,0.0
AL-RF-20040617-0173,0,0,0.0,0.0,0.0,0.0
AL-RF-20040625-0174,4,4,0.0,0.0,0.0,0.0
AL-RF-20040726-0175,5,5,585000.0,0.0,0.0,0.0
AL-RF-20040731-0176,1,1,0.0,0.0,0.0,0.0
AL-RF-20040810-0177,2,2,3000.0,0.0,0.0,0.0
AL-RF-20040825-0178,0,0,0.0,0.0,0.0,0.0
AL-RF-20040916-0179,39,37,750000.0,0.0,0.0,0.0
AL-RF-20041019-0180,14,14,44000.0,0.0,0.0,0.0
AL-RF-20041104-0181,0,0,0.0,0.0,0.0,0.0
AL-RF-20041124-0182,20,20,946000.0,0.0,1.0,0.0
AL-RF-20041209-0183,22,22,19000.0,0.0,0.0,0.0
AL-RF-20050328-0184,18,18,323000.0,0.0,1.0,0.0
AL-RF-20050401-0185,38,21,666000.0,0.0,1.0,0.0
AL-RF-20050407-0186,11,5,183000.0,0.0,0.0,0.0
AL-RF-20050430-0187,3,2,0.0,0.0,0.0,0.0
AL-RF-20050520-0188,1,1,10000.0,0.0,0.0,0.0
AL-RF-20050601-0189,1,1,10000.0,0.0,0.0,0.0
AL-RF-20050620-0190,0,0,0.0,0.0,0.0,0.0
AL-RF-20050706-0191,47,41,239000.0,0.0,0.0,1.0
AL-RF-20050711-0192,50,44,634000.0,0.0,0.0,0.0
AL-RF-20050830-0193,11,11,10000.0,0.0,0.0,0.0
AL-RF-20050926-0194,2,2,0.0,0.0,0.0,0.0
