huc12,flood_report_count,flash_flood_report_count,property_damage_usd,crop_damage_usd,direct_deaths,direct_injuries
031501080903,2,2,100000.0,0.0,0,0
031501080904,3,2,25000.0,0.0,0,0
031501081002,2,1,0.0,0.0,0,0
031501081005,1,1,0.0,0.0,0,0
031501081006,2,2,2000.0,0.0,0,0
031501090101,1,0,0.0,0.0,0,0
031501090103,1,0,0.0,0.0,0,1
031501090106,2,2,0.0,0.0,0,0
031501090107,1,1,0.0,0.0,0,0
031501090301,2,2,115000.0,0.0,0,0
031501090305,1,1,3000.0,0.0,0,0
031501090307,1,1,100000.0,0.0,0,0
031501090401,3,3,47000.0,0.0,0,0
031501090403,4,4,7000.0,0.0,0,0
031501090404,1,0,0.0,0.0,0,0
031501090405,2,2,0.0,0.0,0,0
031501090406,2,1,2000.0,0.0,0,0
031501090503,1,1,5000.0,0.0,0,0
031501090504,2,2,29000.0,0.0,0,0
031501090801,1,0,0.0,0.0,0,0
031501090803,2,2,5000.0,0.0,0,0
031501100102,6,6,0.0,0.0,0,0
031501100103,1,1,0.0,0.0,0,0
031501100104,1,1,0.0,0.0,0,0
031501100201,1,1,0.0,0.0,0,0
031501100202,6,4,400000.0,0.0,0,0
031501100203,1,1,0.0,0.0,0,0
031501100301,2,2,0.0,0.0,0,0
031501100302,3,2,6000.0,0.0,0,0
031501100304,1,1,0.0,0.0,0,0
031501100401,1,1,2000.0,0.0,0,0
031501100404,1,1,1000.0,0.0,0,0
031501100405,1,1,0.0,0.0,0,0
031501100406,1,0,0.0,0.0,0,0
031501100503,1,1,17000.0,0.0,0,0
031501100604,2,2,100000.0,0.0,0,0
031501100701,1,1,0.0,0.0,0,0
031501100704,1,1,0.0,0.0,0,0
031501100801,1,1,100000.0,0.0,0,0
031501100804,3,3,0.0,0.0,0,0
031501100902,1,1,0.0,0.0,0,0
031501100905,2,1,0.0,0.0,0,0
031502010101,1,1,0.0,0.0,0,0
031502010102,1,1,1000000.0,0.0,0,0
031502010103,2,2,2000.0,0.0,0,0
031502010104,1,1,0.0,0.0,0,0
031502010105,11,10,1818000.0,0.0,1,0
031502010106,8,8,4928000.0,0.0,0,0
031502010107,9,8,530000.0,0.0,0,0
031502010203,3,3,11000.0,0.0,0,0
031502010304,1,1,0.0,0.0,0,0
031502010306,4,4,135000.0,0.0,0,0
031502010307,1,1,2000.0,0.0,0,0
031502010308,1,1,0.0,0.0,0,0
031502010309,2,1,0.0,0.0,0,0
031502010310,2,2,0.0,0.0,0,0
031502010311,3,2,0.0,0.0,0,0
031502010402,1,1,50000.0,0.0,0,0
031502010403,1,1,0.0,0.0,0,0
031502010404,1,1,0.0,0.0,0,0
031502010501,1,1,0.0,0.0,0,0
031502010502,1,1,0.0,0.0,0,0
031502010602,1,1,8000.0,0.0,0,0
031502010603,3,3,50000.0,0.0,0,0
031502010701,1,1,0.0,0.0,0,0
031502010703,1,1,0.0,0.0,0,0
031502010803,2,2,2000.0,0.0,0,0
031502010807,1,1,0.0,0.0,0,0
031502011002,1,1,3000.0,0.0,0,0
031502011003,1,1,0.0,0.0,0,0
031502011102,1,0,0.0,0.0,0,0
031502011205,2,2,0.0,0.0,0,0
031502011207,1,1,0.0,0.0,0,0
031502020101,3,3,50000.0,0.0,0,0
031502020102,1,1,0.0,0.0,0,0
031502020103,5,4,72000.0,0.0,0,0
031502020104,1,1,0.0,0.0,0,0
031502020201,1,1,0.0,0.0,0,0
031502020202,13,11,95000.0,0.0,0,0
031502020203,7,6,25000.0,0.0,0,0
031502020204,31,28,11000.0,0.0,0,0
031502020206,9,7,520000.0,0.0,0,0
031502020301,8,6,0.0,0.0,0,1
031502020302,2,2,0.0,0.0,0,0
031502020303,6,6,2000.0,0.0,3,1
031502020403,3,3,2000.0,0.0,0,0
031502020404,2,2,0.0,0.0,0,0
031502020406,1,1,0.0,0.0,0,0
031502020503,5,4,80000.0,0.0,0,0
031502020504,2,2,100000.0,0.0,0,0
031502020601,1,1,2000.0,0.0,0,0
031502020701,1,1,28000.0,0.0,0,0
031502020703,1,1,0.0,0.0,0,0
031502020802,1,1,0.0,0.0,0,0
031502020803,1,1,0.0,0.0,0,0
031502020805,3,3,0.0,0.0,0,0
031502020901,1,1,0.0,0.0,0,0
031502020902,1,1,0.0,0.0,0,0
031502030102,1,1,0.0,0.0,0,0
031502030201,2,2,0.0,0.0,0,0
