archive_name,archive_path,region,ari_years,duration_hours,duration_token,statistic,series,raster_path
se10yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr24ha.zip,se,10,24,24h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr24ha\se10yr24ha.asc
se25yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr24ha.zip,se,25,24,24h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se25yr24ha\se25yr24ha.asc
se50yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr24ha.zip,se,50,24,24h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr24ha\se50yr24ha.asc
se100yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr24ha.zip,se,100,24,24h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr24ha\se100yr24ha.asc
se200yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr24ha.zip,se,200,24,24h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se200yr24ha\se200yr24ha.asc
se500yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se500yr24ha.zip,se,500,24,24h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr24ha\se500yr24ha.asc
se1000yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr24ha.zip,se,1000,24,24h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr24ha\se1000yr24ha.asc
se1yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr03da.zip,se,1,72,03d,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1yr03da\se1yr03da.asc
se2yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr03da.zip,se,2,72,03d,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se2yr03da\se2yr03da.asc
se5yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr03da.zip,se,5,72,03d,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr03da\se5yr03da.asc
se10yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr03da.zip,se,10,72,03d,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr03da\se10yr03da.asc
se25yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr03da.zip,se,25,72,03d,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se25yr03da\se25yr03da.asc
se50yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr03da.zip,se,50,72,03d,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr03da\se50yr03da.asc
se100yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr03da.zip,se,100,72,03d,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr03da\se100yr03da.asc
se200yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr03da.zip,se,200,72,03d,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se200yr03da\se200yr03da.asc
se500yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se500yr03da.zip,se,500,72,03d,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr03da\se500yr03da.asc
se1000yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr03da.zip,se,1000,72,03d,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr03da\se1000yr03da.asc
