archive_path,archive_name,stem,region,ari_years,duration_token,duration_hours,statistic,series,parsed,size_mb
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr03da.zip,se50yr03da.zip,se50yr03da,se,50,03d,72,expected,pds,True,1.5755281448364258
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr03ha.zip,se50yr03ha.zip,se50yr03ha,se,50,03h,3,expected,pds,True,1.169825553894043
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr06ha.zip,se50yr06ha.zip,se50yr06ha,se,50,06h,6,expected,pds,True,1.2703371047973633
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr24ha.zip,se50yr24ha.zip,se50yr24ha,se,50,24h,24,expected,pds,True,1.4715862274169922
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr60ma.zip,se50yr60ma.zip,se50yr60ma,se,50,60m,1,expected,pds,True,0.8980979919433594
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr03da.zip,se5yr03da.zip,se5yr03da,se,5,03d,72,expected,pds,True,1.2178268432617188
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr03ha.zip,se5yr03ha.zip,se5yr03ha,se,5,03h,3,expected,pds,True,0.875361442565918
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr06ha.zip,se5yr06ha.zip,se5yr06ha,se,5,06h,6,expected,pds,True,0.9696083068847656
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr24ha.zip,se5yr24ha.zip,se5yr24ha,se,5,24h,24,expected,pds,True,1.1402397155761719
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr60ma.zip,se5yr60ma.zip,se5yr60ma,se,5,60m,1,expected,pds,True,0.6860837936401367
