duration_hours,ari_years,filename,url,status,size_mb,sha256,error
24,1000,se1000yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1000yr24ha.zip,cached,1.762232780456543,b053791e69ee7f2a6ac19ef0dc5ef200c87a0aa84038396487a8c9da82122a50,
72,1,se1yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1yr03da.zip,cached,0.9907426834106445,5f7226e9f374ba46527a8e8e56dd6ea20d94ad29abb74d7174b264aa5f6e0a87,
72,2,se2yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se2yr03da.zip,cached,1.0731935501098633,38b09995da07e7ecf645e12579735bb688ae4ff2b9aadf21ebe96360f0f97821,
72,5,se5yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se5yr03da.zip,cached,1.2178268432617188,76d04891124bb7c40c242601fe34605228a39b1acd8ca17966abb89a66aad967,
72,10,se10yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se10yr03da.zip,cached,1.3312997817993164,8241cb9f3dde1936b7d98bfdd7d9c87565aafc79a81c4649e8f92555310174c7,
72,25,se25yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se25yr03da.zip,cached,1.4641790390014648,9843336de136a66a9c3156a2a2466168d22c844edee894c77a55d62654a3d06f,
72,50,se50yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se50yr03da.zip,cached,1.5755281448364258,7c45a551bb015ebf782cd05d81c79346f9a9a2b2cdc4bd9d3c8fdde2d154c61c,
72,100,se100yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se100yr03da.zip,cached,1.623124122619629,644139d9ecd1b4634b8e399b79e3451598cef80bdc099d0d7198fd0f455937b6,
72,200,se200yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se200yr03da.zip,cached,1.684591293334961,cfa58b8d5b7f3fa8617420342f5123a0c31f79076f0f5d0ce9e56ebd3b84bcae,
72,500,se500yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se500yr03da.zip,cached,1.76513671875,a6bc741ea36b61a63d4c5d044568ed489d534f362d3735f9befd85de435f9fba,
72,1000,se1000yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1000yr03da.zip,cached,1.826909065246582,276548ae1231325572a4c017ab5804daefc790b9092d13812eb1318c7803ca28,
