site_no,navigation_mode,distance_km,status,reach_count
02449500,UM,12,success,4
02449500,DM,12,success,8
02449882,UM,12,success,16
02449882,DM,12,success,13
02450000,UM,12,success,9
02450000,DM,12,success,7
02450180,UM,12,success,5
02450180,DM,12,success,8
02450200,UM,12,success,8
02450200,DM,12,success,8
02450250,UM,12,success,8
02450250,DM,12,success,6
02450500,UM,12,success,6
02450500,DM,12,success,8
02450825,UM,12,success,11
02450825,DM,12,success,11
02451000,UM,12,success,9
02451000,DM,12,success,7
02451500,UM,12,success,8
02451500,DM,12,success,9
02453000,UM,12,success,4
02453000,DM,12,success,4
02453400,UM,12,success,3
02453400,DM,12,success,13
02453500,UM,12,success,4
02453500,DM,12,success,5
02453950,UM,12,success,5
02453950,DM,12,success,4
02454000,UM,12,success,5
02454000,DM,12,success,3
02454055,UM,12,success,2
02454055,DM,12,success,2
02454200,UM,12,success,5
02454200,DM,12,success,3
02454500,UM,12,success,5
02454500,DM,12,success,10
02455000,UM,12,success,3
02455000,DM,12,success,9
02455185,UM,12,success,10
02455185,DM,12,success,8
02455500,UM,12,success,4
02455500,DM,12,success,2
02455900,UM,12,success,4
02455900,DM,12,success,5
02455980,UM,12,success,7
02455980,DM,12,success,4
02456000,UM,12,success,8
02456000,DM,12,success,6
02456330,UM,12,success,8
02456330,DM,12,success,4
02456500,UM,12,success,2
02456500,DM,12,success,4
02457000,UM,12,success,9
02457000,DM,12,success,6
02457595,UM,12,success,6
02457595,DM,12,success,8
02457670,UM,12,success,5
02457670,DM,12,success,2
02457700,UM,12,success,1
02457700,DM,12,success,1
02458148,UM,12,success,2
02458148,DM,12,success,3
02458190,UM,12,success,1
02458190,DM,12,success,2
02458200,UM,12,success,2
02458200,DM,12,success,2
02458300,UM,12,success,2
02458300,DM,12,success,2
02458450,UM,12,success,2
02458450,DM,12,success,6
02458502,UM,12,success,2
02458502,DM,12,success,6
02458600,UM,12,success,5
02458600,DM,12,success,9
02460500,UM,12,success,1
02460500,DM,12,success,1
02461130,UM,12,success,3
02461130,DM,12,success,6
02461500,UM,12,success,14
02461500,DM,12,success,11
02462000,UM,12,success,5
02462000,DM,12,success,5
02462500,UM,12,success,13
02462500,DM,12,success,14
